case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
402485,"Techren Solar I, LLC",2019,NV,Clark,35.850464,-114.973694,100
401649,"Boulder Solar Power, LLC",2016,NV,Clark,35.835777,-114.978188,100
402130,Luning Energy,2017,NV,Mineral,38.545208,-118.193733,50
401318,Sunshine Valley Solar,2019,NV,Nye,36.515034,-116.515335,100
401851,Townsite Solar Project Hybrid,2021,NV,Clark,35.939953,-114.892258,160
402144,Battle Mountain Solar Project,2021,NV,Humboldt,40.719887,-117.062813,101
402691,"Techren Solar III, LLC",2020,NV,Clark,35.845833,-114.969971,25
402692,"Techren Solar IV, LLC",2020,NV,Clark,35.892361,-114.936028,25
403001,Techren Solar V,2020,NV,Clark,35.899857,-114.926453,50
403884,"Turquoise Nevada, LLC",2020,NV,Washoe,39.586124,-119.52317,54.6
403688,"Copper Mountain Solar 5, LLC",2021,NV,Clark,35.772675,-114.981583,250
403386,"Harry Allen Solar Energy, LLC",2021,NV,Clark,36.425518,-114.923187,100
404659,Fish Springs,2021,NV,Washoe,40.080166,-119.968262,100
404971,Yellow Pine Solar,2023,NV,Clark,36.056126,-115.792412,93.8
406448,Yellow Pine II,2024,NV,Clark,36.069069,-115.811806,60
405385,Arrow Canyon Solar Hybrid,2023,NV,Clark,36.54002,-114.825165,200
405553,Dodge Flat,2022,NV,Washoe,39.656128,-119.345947,200
405495,Gemini Solar,2024,NV,Clark,36.448883,-114.761734,690
405556,Dry Lake Solar Energy Center,2024,NV,Clark,36.42807,-114.888336,150
400215,"Long Island Solar Farm, LLC",2011,NY,Suffolk,40.866062,-72.850609,31.5
401464,Shoreham Solar Commons,2018,NY,Suffolk,40.933575,-72.888412,24.9
405951,Calverton Solar Energy Center,2022,NY,Suffolk,40.910461,-72.754776,22.9
406001,"East Point Energy Center, LLC",2024,NY,Schoharie,42.771664,-74.551491,50
402884,Hillcrest Solar,2021,OH,Brown,39.083664,-83.881683,200
403344,"Hardin Solar Energy, LLC",2021,OH,Hardin,40.663685,-83.814896,150
404811,Salt City Solar Project - Hybrid,2022,OH,Ross,39.421867,-82.965683,49.9
405646,"Big Plain Solar, LLC",2023,OH,Madison,39.848686,-83.325645,196
405678,"Yellowbud Solar, LLC",2023,OH,Ross,39.48925,-83.044785,274
405420,"Hecate Energy Highland, LLC",2024,OH,Highland,39.086082,-83.810081,300
405686,New Market Solar,2024,OH,Highland,39.081089,-83.771286,65
405774,Nestlewood Solar,2023,OH,Brown,38.922783,-84.033455,80
405831,"Arche Energy Project, LLC",2024,OH,Fulton,41.659954,-84.273346,107
406124,"Madison Fields Solar Project, LLC",2024,OH,Madison,40.088528,-83.479355,180
406166,Blue Harvest Solar Park,2023,OH,Putnam,41.084629,-84.28981,49.9
406167,Timber Road Solar Park,2023,OH,Paulding,41.109039,-84.716316,49.9
406497,Fox Squirrel Solar,2023,OH,Madison,39.78965,-83.342392,577
406364,North Fork Solar Project,2024,OK,Kiowa,34.62748,-98.977104,120
402115,Solar Star Oregon II,2017,OR,Crook,44.183853,-120.916557,56
403069,Airport Solar,2019,OR,Lake,42.164444,-120.410133,47.3
404577,Wheatridge Hybrid,2019,OR,Morrow,45.559696,-119.609863,50
404605,Montague Solar,2019,OR,Gilliam,45.536312,-120.175377,162
405453,"Prineville Solar Energy, LLC",2021,OR,Crook,44.252544,-120.883263,40
405454,"Millican Solar Energy, LLC",2021,OR,Crook,44.269852,-120.878571,70
406382,Skysol,2023,OR,Klamath,42.04673,-121.496002,55
406277,"Adams Solar, LLC PA",2023,PA,Adams,39.881115,-77.219467,80
403770,"University Solar, LLC",2019,RI,Kent,41.616108,-71.658104,24
405429,Dry Bridge Solar (Brown University),2023,RI,Washington,41.556717,-71.507401,40
406361,Robin Hollow Solar,2023,RI,Kent,41.632137,-71.638893,40.7
401852,Moffett Solar Project,2017,SC,Jasper,32.641582,-80.989311,71.4
402598,"Shaw Creek Solar, LLC",2019,SC,Aiken,33.675499,-81.748238,74.9
402387,Estill Solar,2017,SC,Hampton,32.765388,-81.24649,20.4
402729,Peony Solar,2018,SC,Orangeburg,33.50304,-81.253349,39
403137,Palmetto Plains,2019,SC,Orangeburg,33.340736,-80.704826,74.9
402545,Seabrook Solar,2019,SC,Beaufort,32.565277,-80.73172,72.5
403223,TWE Bowman Solar Project,2020,SC,Orangeburg,33.316685,-80.677956,75
403716,Lily Solar,2020,SC,Allendale,33.094173,-81.434868,70
403859,Midlands,2020,SC,Calhoun,33.654564,-80.956215,72.1
403512,Huntley,2020,SC,Orangeburg,33.332237,-80.632294,75
404463,"Centerfield Cooper Solar, LLC",2020,SC,Chesterfield,34.69524,-80.144264,75
404624,"Allora Solar, LLC",2020,SC,Lexington,33.888706,-81.398148,75
404627,"Gunsight Solar, LLC",2020,SC,Lexington,33.761097,-81.069794,75
405006,Eastover Solar,2023,SC,Richland,33.918137,-80.653732,73.6
406033,"Landrace Holdings, LLC",2023,SC,Horry,33.732311,-79.091339,55
406290,Beulah Solar,2022,SC,Saluda,33.94854,-81.574425,74.9
401796,Millington Solar Farm,2018,TN,Shelby,35.35231,-89.855423,53
404616,Elora Solar,2020,TN,Lincoln,35.050964,-86.351189,150
